# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23429
#@/user_id	dc32b531-effb-4e33-b228-85587d1b6c4a
a 	啊	c=99 d=0.100281 t=23361
xu ni ji 	虚拟机	c=15 d=1.00109 t=20074
xu ni ji zhan 	虚拟机栈	c=1 d=1 t=6420
xu ni nei cun 	虚拟内存	c=4 d=1.00573 t=20353
xu ni ye hao 	虚拟页号	c=1 d=1 t=8657
xu qiu 	需求	c=3 d=1.63445 t=14600
xu shui 	蓄水	c=7 d=5.66421 t=11512
xu shui cao zuo 	蓄水操作	c=1 d=1 t=11513
xu shui liang 	蓄水量	c=2 d=1.9802 t=11280
xu wang 	虚妄	c=1 d=1 t=13789
xu yao 	需要	c=23 d=1.01587 t=22185
xu yao dui 	需要对	c=1 d=1 t=16319
xu yao shi xian 	需要实现	c=1 d=1 t=11221
xu ye hao 	虚页号	c=1 d=1 t=10325
xu yun 	徐云	c=11 d=1.0002 t=22647
xu yun 	徐筠	c=1 d=1 t=9678
xuan 	选	c=2 d=0.1 t=14040
xuan ba 	选拔	c=1 d=1 t=11797
xuan jue 	选角	c=3 d=2.9216 t=10579
xuan nian 	悬念	c=1 d=1 t=16848
xuan shang 	选上	c=1 d=1 t=14952
xuan tie zhi 	选贴纸	c=1 d=1 t=14041
xuan xiang 	选项	c=1 d=1 t=21131
xuan ze 	选择	c=8 d=2.94129 t=21032
xuan zhong 	选中	c=9 d=1 t=20965
xuan zhong dao 	选中到	c=1 d=1 t=7973
xue 	学	c=3 d=1 t=15415
xue dao 	学到	c=1 d=1 t=5273
xue qi 	学期	c=0 d=0.1 t=19196
xue sheng 	学生	c=4 d=1 t=13021
xue sheng you hui 	学生优惠	c=1 d=1 t=3456
xue sheng you xiang 	学生邮箱	c=1 d=1.00484 t=2073
xue sheng you xiang de 	学生邮箱的	c=1 d=1 t=2074
xue shu 	学术	c=1 d=1 t=3173
xue xi 	学习	c=11 d=1.32792 t=13102
xue xi yi xia 	学习一下	c=1 d=1 t=3295
xue xiao 	学校	c=2 d=1 t=14947
xue xiao bao xiao 	学校报销	c=1 d=1 t=7475
xue xiao de 	学校的	c=1 d=1 t=22898
xue xiao zhou wei 	学校周围	c=1 d=1 t=10518
xue yuan 	学院	c=1 d=1 t=14956
xue yuan li 	学原理	c=1 d=1 t=14955
xue zhe 	学者	c=1 d=1 t=15054
xun huan 	循环	c=5 d=1 t=8641
xun huan de 	循环的	c=1 d=1 t=1270
xun zhao 	寻找	c=2 d=1.00003 t=18190
ya gen 	压根	c=2 d=1.03996 t=18748
ya gen 	牙根	c=2 d=1.03996 t=18747
ya ke 	牙科	c=0 d=0.1 t=3603
ya ke le 	牙科了	c=1 d=1 t=3604
ya ke li 	亚克力	c=1 d=1 t=3605
ya su 	雅俗	c=1 d=1 t=3616
ya suo 	压缩	c=5 d=1.04771 t=20199
ya suo de 	压缩的	c=1 d=1 t=20052
ya xue fen si 	鸭血粉丝	c=1 d=1 t=11808
ya zhe 	压着	c=1 d=1 t=13166
yan 	演	c=1 d=1 t=10588
yan chi 	延迟	c=14 d=1.43459 t=16497
yan dao 	眼到	c=1 d=1 t=9355
yan ge 	严格	c=1 d=1 t=11125
yan ge de 	严格的	c=0 d=0.1 t=20338
yan ge mo shi 	严格模式	c=1 d=1 t=12149
yan jing teng 	眼睛疼	c=1 d=1 t=2246
yan jiu 	研究	c=3 d=1.00021 t=18002
yan jiu sheng 	研究生	c=3 d=1 t=21170
yan lei 	眼泪	c=1 d=1 t=18171
yan se 	颜色	c=4 d=1.117 t=3610
yan se de 	颜色的	c=1 d=1 t=11970
yan shi 	演示	c=3 d=2.96042 t=21245
yan shou 	验收	c=2 d=1.956 t=680
yan si he feng 	严丝合缝	c=1 d=1 t=11723
yan yuan 	演员	c=1 d=1 t=10667
yan zheng 	验证	c=1 d=1 t=21853
yan zhong de 	严重的	c=1 d=1 t=2205
yang 	养	c=1 d=1 t=13646
yang 	阳	c=1 d=1 t=22230
yang cong 	洋葱	c=1 d=1 t=2714
yang shi 	样式	c=1 d=1 t=10962
yang tai 	阳台	c=2 d=1.90484 t=5959
yang ti a 	样体啊	c=1 d=1 t=5958
yang zi 	样子	c=1 d=1 t=18039
yao 	要	c=35 d=1.00059 t=23057
yao ba 	要把	c=1 d=1 t=13772
yao bei 	要被	c=1 d=1 t=9350
yao bu 	要不	c=1 d=1 t=7668
yao chi 	要吃	c=1 d=1 t=10402
yao duo jiu 	要多久	c=2 d=1 t=18706
yao feng le 	要封了	c=0 d=0.1 t=18513
yao hui bao 	要汇报	c=1 d=1 t=12883
yao kao 	要靠	c=1 d=1 t=18197
yao mai 	要买	c=0 d=0.1 t=18348
yao me 	要么	c=2 d=1.98511 t=12611
yao mei 	妖媚	c=0 d=0.1 t=5667
yao mei le 	妖媚了	c=1 d=1 t=5668
yao na 	要拿	c=1 d=1 t=6495
yao ni 	要你	c=1 d=1 t=11426
yao qi 	妖气	c=1 d=1 t=13864
yao qing ma 	邀请码	c=2 d=1.9802 t=11162
yao qiu 	要求	c=5 d=1.20393 t=22655
yao shi 	要是	c=5 d=1 t=19812
yao si 	要死	c=0 d=0.1 t=18010
yao si le 	要死了	c=1 d=1 t=67
yao xia zai 	要下载	c=1 d=1 t=18770
yao xiang 	要想	c=0 d=0.1 t=10350
yao yong 	要用	c=2 d=1 t=11930
yao yong de 	姚永德	c=1 d=1 t=9005
ye 	也	c=30 d=1.02196 t=23055
ye 	页	c=33 d=1 t=23053
ye biao 	页表	c=3 d=1.58387 t=8976
ye bu 	也不	c=0 d=0.1 t=21362
ye bu hui 	也不会	c=0 d=0.1 t=11450
ye bu shao 	也不少	c=1 d=1 t=16932
ye bu shi 	也不是	c=2 d=1 t=7267
ye bu zhi dao 	也不知道	c=3 d=2.40042 t=18125
ye da xiao 	页大小	c=1 d=1 t=20309
ye hao 	也好	c=4 d=2.98012 t=11953
ye hao 	页号	c=3 d=2.28821 t=8879
ye jian 	夜间	c=1 d=1 t=7731
ye jiang 	也将	c=1 d=1 t=16898
ye jiu shi shuo 	也就是说	c=1 d=1 t=16142
ye kan 	也看	c=0 d=0.1 t=384
ye kan bu dao 	也看不到	c=1 d=1 t=385
ye ke yi 	也可以	c=4 d=1 t=20579
ye mei 	也没	c=0 d=0.1 t=17179
ye mei kou 	也没口	c=1 d=1 t=17180
ye mei shen me 	也没什么	c=1 d=1 t=1329
ye mei you 	也没有	c=3 d=1 t=16158
ye mian 	页面	c=36 d=1.05213 t=20306
ye mian cuo wu 	页面错误	c=1 d=1 t=16757
ye mian gu zhang 	页面故障	c=1 d=1 t=16650
ye mian hui shou 	页面回收	c=1 d=1 t=14387
ye nei pian yi 	页内偏移	c=2 d=1.23931 t=9160
ye pian yi 	页偏移	c=1 d=1 t=8870
ye shi 	也是	c=7 d=1.09117 t=18712
ye shuo le 	也说了	c=1 d=1 t=21585
ye su 	耶稣	c=1 d=1 t=3617
ye wei chang bu ke 	也未尝不可	c=1 d=1 t=11991
ye wu 	业务	c=4 d=1 t=22869
ye xiao 	夜宵	c=5 d=1.00852 t=17881
ye xu 	也许	c=5 d=2.68136 t=18185
ye ye 	爷爷	c=1 d=1 t=1317
ye yong 	也用	c=1 d=1.00001 t=8005
ye yong le 	也用了	c=1 d=1 t=6094
ye you 	也有	c=6 d=1 t=15923
ye you shi 	也有事	c=1 d=1 t=13555
ye you zhe 	也有着	c=1 d=1 t=5754
ye yu dao le 	也遇到了	c=1 d=1 t=6107
ye zai 	也在	c=1 d=1 t=10527
yi 	一	c=6 d=1 t=22896
yi 	亿	c=2 d=1.02844 t=11733
yi 	以	c=11 d=1.18113 t=20924
yi 	已	c=1 d=1 t=20153
yi 	怡	c=1 d=1 t=6856
yi bai wan ge 	一百万个	c=1 d=1 t=12478
yi ban 	一半	c=2 d=0.39671 t=5523
yi ban 	一般	c=9 d=1 t=20737
yi ban de 	一般的	c=3 d=1.98511 t=16389
yi ban de qian 	一半的钱	c=1 d=1 t=10095
yi ban lai shuo 	一般来说	c=1 d=1 t=16682
yi ban ren wei 	一半认为	c=1 d=1 t=5524
yi bian 	一遍	c=3 d=1 t=9191
yi bian 	以便	c=1 d=1 t=16105
yi bian qu 	一边去	c=1 d=1 t=5029
yi bo 	一波	c=1 d=1 t=7811
yi bu 	异步	c=1 d=1 t=19402
yi bu fen 	一部分	c=2 d=1 t=17043
yi bu jia zai 	异步加载	c=3 d=2.55809 t=1881
yi bu pian zi 	一部片子	c=1 d=1 t=14275
yi chang 	一场	c=1 d=0.1 t=18156
yi chu 	移除	c=1 d=1 t=18909
yi ci 	一次	c=14 d=1.00417 t=19825
yi ci 	依次	c=4 d=1 t=21593
yi ci ke 	一次课	c=0 d=0.1 t=21361
yi ci ni 	依次你	c=1 d=1 t=8841
yi cu 	一簇	c=0 d=0.1 t=1018
yi cu er qi 	一簇而其	c=1 d=1 t=1019
yi da dui 	一大堆	c=1 d=1 t=2998
yi da dui ren 	一大堆人	c=1 d=1 t=12086
yi da quan 	一大圈	c=1 d=1 t=12397
yi da tuo 	一大坨	c=1 d=1 t=1579
yi di ha de 	伊蒂哈德	c=1 d=1 t=6246
yi dian 	一点	c=19 d=1.00062 t=23112
yi dian dian 	一点点	c=1 d=1 t=10907
yi dian er 	一点儿	c=1 d=1 t=18105
yi dian xiao lv 	一点效率	c=1 d=1 t=1917
yi ding 	一定	c=3 d=1.00024 t=14482
yi ding yao 	一定要	c=1 d=1 t=22532
yi ding yi ding 	一定一定	c=1 d=1 t=84
yi dong 	移动	c=11 d=1 t=20767
yi dong dao 	移动到	c=4 d=2.78461 t=21207
yi dong de 	移动的	c=1 d=1 t=14481
yi dong su du 	移动速度	c=1 d=1 t=5583
yi duan shi jian 	一段时间	c=1 d=1 t=2192
yi dui 	一堆	c=6 d=1.13149 t=14208
yi dun 	一顿	c=1 d=1 t=19589
yi e 	一愕	c=1 d=1 t=21937
yi fang 	一方	c=1 d=1 t=12295
yi fen zhong 	一分钟	c=1 d=1 t=18771
yi fu 	衣服	c=1 d=1 t=18951
yi gao 	一高	c=0 d=0.1 t=3751
yi gao yi kua 	一高一跨	c=1 d=1 t=3752
yi gao yi kuai 	一高一快	c=2 d=1.99501 t=3751
yi ge 	一个	c=197 d=3.74172 t=23003
yi ge dong xi 	一个东西	c=1 d=1 t=17651
yi ge duo yue 	一个多月	c=2 d=1 t=20982
yi ge jiao 	一个角	c=2 d=1 t=15368
yi ge kuang 	一个框	c=1 d=1 t=1891
yi ge ren 	一个人	c=1 d=1 t=17879
yi ge ren de 	一个人的	c=2 d=1 t=12308
yi ge yue 	一个月	c=2 d=1 t=21009
yi gong 	一共	c=0 d=0.1 t=21334
yi gong xu yao 	一共需要	c=1 d=1 t=21335
yi hai yue 	乙亥月	c=1 d=1 t=6781
yi hang 	一行	c=3 d=1 t=18690
yi he 	一盒	c=1 d=1 t=18354
yi hei ren 	一黑人	c=1 d=1 t=5271
yi hou 	以后	c=16 d=1.01619 t=20873
yi hui 	一会	c=2 d=1 t=4545
yi hui er 	一会儿	c=1 d=1 t=5272
yi ji 	一级	c=1 d=1 t=20442
yi ji 	以及	c=13 d=1.54065 t=20194
yi jia dian 	一家店	c=0 d=0.1 t=7738
yi jian 	一件	c=1 d=1 t=14973
yi jian 	意见	c=0 d=0.1 t=14971
yi jin 	一斤	c=0 d=0.1 t=18342
yi jing 	已经	c=16 d=1.78663 t=22543
yi jing shi 	已经是	c=1 d=1 t=8990
yi jing you 	已经有	c=1 d=1 t=22978
yi jing zai 	已经在	c=0 d=0.1 t=19055
yi kai 	移开	c=1 d=1 t=16681
yi kai shi 	一开始	c=1 d=0.1 t=12024
yi kai shi ji 	一开始继	c=1 d=1 t=12025
yi kua 	一跨	c=0 d=0.1 t=3751
yi kuai 	一块	c=1 d=1 t=17876
yi kuai qian 	一块钱	c=1 d=1 t=7397
yi lai 	以来	c=1 d=1 t=10934
yi lai yu 	依赖于	c=1 d=1 t=19794
yi lao shi 	一老师	c=1 d=1 t=21152
yi liang ge 	一两个	c=1 d=1 t=5377
yi liang tian 	一两天	c=1 d=1 t=23083
yi liu de 	一流的	c=1 d=1 t=1910
yi lun 	一轮	c=1 d=1 t=6507
yi mian 	一面	c=1 d=1 t=5282
yi nan ping 	意难平	c=1 d=1 t=10623
yi nian 	一年	c=5 d=1 t=19711
yi nian duo 	一年多	c=1 d=1 t=6837
yi pang 	一旁	c=1 d=1 t=10918
yi pi 	一批	c=3 d=0.1 t=20012
yi pian 	一片	c=4 d=1.00024 t=23392
yi pin 	衣品	c=1 d=1 t=10028
yi ping 	一瓶	c=4 d=1 t=23147
yi qi 	一起	c=1 d=1 t=3513
yi qi jia 	一起加	c=0 d=0.1 t=8375
yi qi jia zai 	一起加在	c=1 d=1 t=8376
yi qian 	以前	c=2 d=1 t=18100
yi qie 	一切	c=2 d=1 t=13650
yi qie zheng chang 	一切正常	c=1 d=1 t=10844
yi quan 	一拳	c=1 d=1 t=9942
yi quan da bao 	一拳打包	c=1 d=1 t=6280
yi qun 	一群	c=2 d=1.47473 t=12186
yi qun ren 	一群人	c=1 d=1 t=12172
yi ran 	依然	c=3 d=1 t=14785
yi ran 	已然	c=2 d=1 t=20423
yi shang 	以上	c=2 d=1 t=16026
yi shang lai 	以上来	c=1 d=1 t=11113
yi shang wu 	一上午	c=1 d=1 t=23188
yi shi dao 	意识到	c=1 d=1 t=9012
yi shi tong ren 	一视同仁	c=1 d=1 t=17065
yi shu pin 	艺术品	c=1 d=1 t=12530
yi shu zuo pin 	艺术作品	c=1 d=1 t=18312
yi si 	意思	c=32 d=2.06695 t=22022
yi si shi 	意思是	c=2 d=1 t=19972
yi tai 	一台	c=2 d=1 t=19917
yi tang 	一趟	c=2 d=1 t=9429
yi tian 	一天	c=11 d=1 t=20500
yi tian de 	一天得	c=1 d=1 t=1522
yi tong bu 	一同步	c=1 d=1 t=1381
yi tuo 	一坨	c=2 d=1 t=18482
yi tuo 	依托	c=1 d=1 t=4688
yi wai 	意外	c=1 d=1.00937 t=1938
yi wai bao 	意外保	c=1 d=1 t=1939
yi wan 	一碗	c=1 d=1 t=23127
yi wan cheng 	已完成	c=1 d=1 t=20166
yi wan duo ge 	一万多个	c=1 d=1 t=1383
yi wan shang 	一晚上	c=6 d=1 t=23111
yi wei zhe 	意味着	c=1 d=1 t=156
yi xi lie 	一系列	c=1 d=1 t=13494
yi xia 	一下	c=37 d=1.99588 t=23206
yi xia 	以下	c=1 d=1 t=10903
yi xia jiu 	一下就	c=1 d=1 t=22303
yi xia wu 	一下午	c=3 d=1 t=18527
yi xiao shi 	一小时	c=1 d=1 t=23192
yi xie 	一些	c=26 d=1.47451 t=23423
yi yang 	一样	c=10 d=1.8067 t=21537
yi yang de 	一样的	c=6 d=1 t=18298
yi yang kuai ma 	一样快马	c=1 d=1 t=15703
yi yi 	意义	c=3 d=1 t=21808
yi yi he zai 	意义何在	c=1 d=1 t=12192
yi yi shang 	意义上	c=0 d=0.1 t=14833
yi yong 	医用	c=1 d=1 t=6192
yi you 	已有	c=1 d=1 t=3925
yi yu 	抑郁	c=5 d=2.88742 t=14734
yi yue er xia 	一跃而下	c=1 d=1 t=14827
yi zhang 	一张	c=1 d=1 t=9938
yi zhen 	一阵	c=0 d=0.1 t=18092
yi zhen zi 	一阵子	c=1 d=1 t=9590
yi zhen zi ba 	一阵自拔	c=1 d=1 t=18093
yi zheng tian 	一整天	c=1 d=1 t=6997
yi zhi 	一直	c=11 d=1.71389 t=21077
yi zhi 	一致	c=2 d=1.07136 t=3839
yi zhi bao cuo 	一直报错	c=1 d=1 t=21796
yi zhi bei 	一直被	c=1 d=1 t=20983
yi zhi de 	一致的	c=1 d=1 t=7580
yi zhi fang zai 	一直放在	c=1 d=1 t=2332
yi zhi jiao 	一直叫	c=1 d=1 t=1971
yi zhi shi 	一直是	c=1 d=1 t=12487
yi zhi shou 	一只手	c=1 d=1 t=21013
yi zhi xing 	一致性	c=6 d=1 t=20618
yi zhi yong de 	一直用的	c=1 d=1 t=21078
yi zhi zai 	一直在	c=5 d=1 t=16278
yi zhi zai zhuan 	一直在传	c=1 d=1 t=135
yi zhong 	一种	c=9 d=1 t=22941
yi zhou 	一周	c=4 d=1 t=23368
yi zhou gong zi 	一周工资	c=1 d=1 t=10054
yi zhu ce 	已注册	c=1 d=1 t=12792
yi zu 	一组	c=2 d=1.00022 t=17441
yin 	因	c=2 d=1.99005 t=9619
yin cang 	隐藏	c=2 d=1 t=15878
yin cang wen jian 	隐藏文件	c=1 d=1 t=13748
yin ci 	因此	c=20 d=1.11379 t=23260
yin he 	银河	c=1 d=1 t=6249
yin huan 	隐患	c=1 d=1 t=12817
yin liang 	音量	c=0 d=0.1 t=21889
yin liang tiao jie 	音量调节	c=1 d=1 t=21889
yin liang zi dong 	音量自动	c=1 d=1 t=21890
yin ni 	因你	c=0 d=0.1 t=4023
yin ni 	隐匿	c=0 d=0.1 t=4021
yin ni er feng kuang ma 	因你而疯狂吗	c=1 d=1 t=4024
yin ni er feng kuang ma 	隐匿而疯狂吗	c=1 d=1 t=4022
yin qi 	引起	c=1 d=1 t=12869
yin qin 	殷勤	c=1 d=1 t=5094
yin qing 	引擎	c=4 d=1 t=13383
yin si xin xi 	隐私信息	c=1 d=1 t=22809
yin si xing 	隐私性	c=1 d=1 t=22990
yin wei 	因为	c=19 d=1.00128 t=22074
yin yo 	因哟	c=1 d=1 t=22056
yin yong 	引用	c=3 d=0.166056 t=22056
yin yue 	音乐	c=27 d=1.04103 t=8060
yin zhi 	音质	c=1 d=1 t=6811
ying 	硬	c=1 d=1 t=12067
ying 	赢	c=2 d=1.22425 t=6212
ying ceng 	硬蹭	c=1 d=1 t=12174
ying chao 	英超	c=21 d=6.04568 t=16926
ying chao sai cheng 	英超赛程	c=2 d=1 t=11817
ying dui 	应对	c=0 d=0.1 t=16867
ying dui de 	应对的	c=1 d=1 t=16868
ying er ban 	婴儿版	c=1 d=1 t=14995
ying er ban 	婴儿般	c=1 d=1 t=14997
ying gai 	应该	c=17 d=1.00005 t=21521
ying gai da dao 	应该达到	c=1 d=1 t=11512
ying gai hui 	应该会	c=1 d=1 t=15016
ying gai shi 	应该是	c=3 d=1.956 t=21839
ying gai shi yong 	应该使用	c=1 d=1 t=17837
ying gai shui jiao 	应该睡觉	c=1 d=1 t=21658
ying gai you 	应该有	c=1 d=1 t=15486
ying gai zou le 	应该走了	c=1 d=1 t=10532
ying he 	硬核	c=1 d=1 t=14983
ying jian 	硬件	c=1 d=1 t=5555
ying le 	赢了	c=1 d=1 t=5699
ying le ma 	赢了吗	c=1 d=1 t=6591
ying nian zao shi 	英年早逝	c=0 d=0.1 t=8619
ying nian zao shi le 	英年早逝了	c=1 d=1 t=8620
ying pan 	硬盘	c=2 d=1 t=19466
ying she 	映射	c=3 d=1.956 t=8022
ying she dao 	映射到	c=2 d=1 t=8047
ying wen 	英文	c=5 d=3.96037 t=4120
ying wen ban 	英文版	c=1 d=1 t=19001
ying xiang 	影响	c=4 d=1.05287 t=20890
ying yong 	应用	c=18 d=1.002 t=20920
ying yong ceng 	应用层	c=2 d=0.100096 t=22107
ying yong ceng xu 	应用层虚	c=1 d=1 t=22108
ying yong cheng xu 	应用程序	c=12 d=1.75974 t=22107
ying yong chuang kou 	应用窗口	c=1 d=1 t=23380
ying yong ji 	应用级	c=1 d=1 t=20347
ying yong suo xu 	应用所需	c=1 d=1 t=15867
yo 	哟	c=0 d=0.1 t=13528
yong 	用	c=86 d=2.6145 t=23401
yong a 	用啊	c=0 d=0.1 t=1872
yong bu dao 	用不到	c=0 d=0.1 t=5340
yong bu dao de 	用不到的	c=1 d=1 t=5341
yong bu guan 	用不惯	c=2 d=1.97531 t=6939
yong bu liao 	用不了	c=1 d=1 t=4441
yong chu ta fei 	永雏塔菲	c=1 d=1 t=21929
yong de 	用的	c=12 d=1.00173 t=21150
yong duo shao le 	用多少了	c=1 d=1 t=17666
yong fa 	用法	c=2 d=1.1674 t=22345
yong fa ji lu 	用法记录	c=1 d=1 t=22346
yong guo 	用过	c=5 d=1.03305 t=13066
yong hu 	用户	c=26 d=1.00016 t=23311
yong hu ji 	用户级	c=1 d=1 t=8953
yong hu ming 	用户名	c=1 d=1 t=10991
yong hui 	用回	c=1 d=1 t=3773
yong ji tian 	用几天	c=1 d=1 t=10089
yong jiu 	永久	c=0 d=0.1 t=20393
yong jiu le 	永久了	c=1 d=1 t=20394
yong lai 	用来	c=7 d=1 t=21917
yong lai mo ni 	用来模拟	c=1 d=1 t=17090
yong le 	用了	c=10 d=1.06721 t=20412
yong le ge 	用了个	c=1 d=1 t=2542
yong li 	用力	c=1 d=1 t=20958
yong ma 	用吗	c=1 d=1 t=1905
yong shi 	勇士	c=1 d=1 t=4398
yong ta 	用它	c=0 d=0.1 t=4929
yong ta de 	用它的	c=1 d=1 t=4930
yong you 	拥有	c=1 d=1 t=17229
yong yu 	用于	c=11 d=1.22387 t=22379
yong zhe 	用着	c=1 d=1 t=12717
yong zhe ge 	用这个	c=1 d=1 t=21194
yong zhong wen 	用中文	c=1 d=1 t=16737
yong zuo 	用作	c=1 d=1 t=14185
you 	又	c=22 d=3.10798 t=23195
you 	有	c=69 d=1.4642 t=23074
you 	由	c=13 d=1.00347 t=20272
you bei yu 	有悖于	c=1 d=1 t=23009
you bi yao 	有必要	c=1 d=1 t=3182
you bian 	右边	c=1 d=1 t=8426
you bu shi 	又不是	c=1 d=1 t=11848
you bu suan 	又不算	c=1 d=1 t=9318
you dao 	有道	c=1 d=1 t=12288
you dao li 	有道理	c=1 d=1 t=19594
you de 	有的	c=1 d=1 t=16931
you dian 	有点	c=6 d=1.40252 t=18267
you dian fa shao 	有点发烧	c=1 d=1 t=12764
you dian kuai le 	有点快乐	c=1 d=1 t=5695
you dian li hai 	有点厉害	c=1 d=1 t=10197
you dian wen ti 	有点问题	c=1 d=1 t=23228
you duo jiu 	有多久	c=1 d=1 t=227
you gan 	有感	c=1 d=1 t=11128
you ge 	有个	c=5 d=1 t=22330
you guan 	有关	c=1 d=1 t=13533
you hua 	优化	c=7 d=1 t=17746
you huai le 	又坏了	c=1 d=1 t=7868
you hui quan 	优惠券	c=2 d=1.96561 t=7762
you jian 	邮件	c=4 d=2.01482 t=13027
you jiao 	右脚	c=1 d=1 t=5661
you kai shi le 	又开始了	c=1 d=1 t=19518
you ke neng 	有可能	c=1 d=1 t=22821
you le 	有了	c=3 d=1 t=5295
you liang ge 	有两个	c=1 d=1 t=14354
you mao 	有毛	c=0 d=0.1 t=7762
you mao yong 	有毛用	c=1 d=1 t=7763
you mei you 	有没有	c=7 d=1.00043 t=13410
you mei you ke neng 	有没有可能	c=1 d=1 t=6751
you mei you ren kan 	有没有人看	c=1 d=1 t=8437
you mo 	幽默	c=3 d=1 t=16955
you na xie 	有哪些	c=1 d=1 t=5967
you qi ta 	有其他	c=0 d=0.1 t=9522
you qu 	又去	c=3 d=1 t=23150
you qu 	有趣	c=1 d=1 t=10911
you qu bie 	有区别	c=1 d=1 t=7813
you re 	又热	c=1 d=1 t=8131
you ren 	有人	c=1 d=0.1 t=23244
you ren duo luo 	有人堕落	c=2 d=1.97045 t=22643
you ren feng le 	有人疯了	c=1 d=1 t=22638
you ren kan 	有人看	c=0 d=0.1 t=8436
you ren kan ma 	有人看吗	c=1 d=1 t=23245
you sha 	有啥	c=1 d=1 t=13279
you sha yi si 	有啥意思	c=1 d=1 t=9987
you sha yong 	有啥用	c=4 d=1 t=19803
you she me guan xi 	有社么关系	c=1 d=1 t=7220
you she nong me 	有涉农么	c=1 d=1 t=7191
you shen du 	有深度	c=1 d=1 t=10913
you shen me 	有什么	c=9 d=1.24909 t=22192
you shen me yong 	有什么用	c=2 d=1 t=21869
you shi 	优势	c=3 d=0.1 t=22455
you shi 	又是	c=2 d=1 t=11444
you shi 	有事	c=1 d=1 t=21524
you shi 	有时	c=1 d=1 t=3798
you shi hou 	有时候	c=3 d=1 t=18834
you shi jian 	有时间	c=1 d=1 t=5380
you shi jian de hua 	有时间的话	c=1 d=1 t=6277
you shu 	有数	c=1 d=1 t=10110
you wen ti 	有问题	c=4 d=1 t=19555
you wu 	有无	c=12 d=1 t=19739
you xi 	游戏	c=4 d=1.00833 t=11543
you xi xing neng 	游戏性能	c=1 d=1 t=11909
you xian 	优先	c=2 d=1.45841 t=11356
you xian 	有线	c=1 d=1 t=8092
you xian 	有限	c=2 d=1 t=11195
you xian de 	有限的	c=1 d=1 t=1190
you xian dui lie 	优先队列	c=1 d=1 t=11196
you xian huan jing 	有线环境	c=1 d=1 t=2071
you xian ji 	优先级	c=8 d=1 t=16485
you xian ji de 	优先级的	c=1 d=1 t=4351
you xian wang 	有线网	c=2 d=1.9802 t=4837
you xiang 	邮箱	c=13 d=3.91642 t=13024
you xiao 	有效	c=5 d=1 t=22519
you xiao de 	有效的	c=2 d=1.00033 t=15446
you xiao gong xiang 	有效共享	c=1 d=1 t=16133
you xiao wei 	有效位	c=2 d=1.99501 t=8826
you xie 	有些	c=2 d=1 t=13776
you yan wei 	油烟味	c=1 d=1 t=17985
you yao 	又要	c=3 d=1 t=20723
you yi ban 	有一半	c=1 d=1 t=19793
you yi ge 	有一个	c=1 d=1 t=9274
you yi yi de 	有意义的	c=1 d=1 t=18207
you yi zhi 	有一只	c=1 d=1 t=6541
you yi zhong 	有一种	c=1 d=1 t=3517
you yong 	有用	c=0 d=0.1 t=13133
you yong duo le 	有用多了	c=1 d=1 t=13134
you yu 	由于	c=18 d=1.14087 t=23177
you zai 	又在	c=1 d=1 t=23124
you zhe 	有着	c=2 d=1 t=17147
you zhe zhong 	有这种	c=1 d=1 t=13927
you zhi 	优质	c=1 d=1 t=13907
yu 	与	c=4 d=1.00006 t=21294
yu 	于	c=8 d=1.0984 t=21783
yu 	育	c=1 d=0.114699 t=3325
yu 	雨	c=4 d=1 t=19344
yu 	鱼	c=3 d=3.03943 t=4675
yu a cheng 	雨啊城	c=1 d=1 t=14537
yu ce 	预测	c=16 d=1.00007 t=4015
yu ce cu 	预测粗	c=1 d=1.056 t=1012
yu ce cu o 	预测粗哦	c=2 d=1.91851 t=1030
yu ce qi 	预测器	c=4 d=3.80714 t=1020
yu dao 	遇到	c=2 d=1.86502 t=2304
yu dao le 	遇到了	c=1 d=0.1 t=6106
yu fa 	语法	c=2 d=1 t=22425
yu fang 	预防	c=1 d=1 t=22671
yu ju 	语句	c=1 d=1 t=5226
yu lan 	预览	c=19 d=1.22314 t=13344
yu le 	娱乐	c=1 d=1 t=9352
yu mao 	羽毛	c=0 d=0.1 t=13232
yu mao qiu 	羽毛球	c=3 d=1 t=18028
yu ming 	域名	c=11 d=1 t=22457
yu qi 	与其	c=1 d=1 t=22926
yu qu 	预取	c=29 d=1 t=20284
yu qu chuang kou 	预取窗口	c=1 d=1 t=16642
yu qu qi 	预取器	c=2 d=1 t=15131
yu qu ye 	预取页	c=1 d=1 t=16658
yu que 	语雀	c=1 d=1 t=14546
yu shi 	于是	c=1 d=1 t=23183
yu suan 	预算	c=1 d=1 t=13561
yu xiang 	预想	c=1 d=1 t=3308
yu yan 	语言	c=15 d=1.36001 t=22863
yu yan zhong 	语言中	c=1 d=1 t=11199
yu ye 	渔业	c=1 d=1 t=7017
yu yi 	予以	c=1 d=1 t=8310
yu yi 	语义	c=4 d=1.00009 t=22132
yu yue 	预约	c=1 d=1 t=7018
yu zhi 	与之	c=1 d=1 t=21932
yu zhi 	阈值	c=2 d=1.84367 t=16908
yu zhou 	宇宙	c=3 d=1.20449 t=7423
yu zhou tan suo 	宇宙探索	c=2 d=1.16696 t=7421
yuan 	元	c=9 d=0.870158 t=20016
yuan 	原	c=2 d=1 t=12850
